field,kind,rows,non_null,null_pct,min,p01,p05,p10,p25,p50,p75,p90,p95,p99,max,mean,std,neg_pct,zero_pct,pos_pct,suggested_public_exposure,glossary_group,glossary_description
ma_strength_score_signed,signed_score,7970,7970,0.0,-100.0,-100.0,-100.0,-100.0,-100.0,20.0,100.0,100.0,100.0,100.0,100.0,0.3413,80.4503,49.15,0.0,50.85,public_label_ok_raw_score_member_only,,
ma_trend_score_signed,signed_score,7970,7970,0.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,100.0,100.0,100.0,100.0,100.0,-14.1901,94.6101,54.52,4.93,40.55,public_label_ok_raw_score_member_only,,
macd_attention_adjusted_score_signed,signed_score,7970,7970,0.0,-61.8498,-56.8446,-38.0559,-19.7022,0.0,18.9512,39.4222,59.4797,76.9347,96.3995,100.0,18.4488,34.9994,24.37,15.18,60.45,public_label_ok_raw_score_member_only,,
macd_component_signal_direction,signed_score,7970,7970,0.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.5,0.5,0.5,0.5,0.5,-0.0045,0.4982,50.09,0.73,49.18,internal_only,,
macd_signal_strength_score_signed,signed_score,7970,7970,0.0,-60.0,-60.0,-40.0,-20.0,0.0,20.0,40.0,60.0,80.0,100.0,100.0,19.1619,36.4896,24.37,15.18,60.45,public_label_ok_raw_score_member_only,,
rsi_attention_adjusted_score_signed,signed_score,7970,7970,0.0,-60.7449,-40.6259,-21.3264,-19.7184,-9.1566,0.0,19.3663,19.9895,29.8513,42.1399,69.3335,1.3366,17.6672,44.78,7.39,47.83,public_label_ok_raw_score_member_only,,
rsi_combined_strength_score_signed,signed_score,7970,7970,0.0,-57.1429,-38.5714,-20.0,-18.5714,-8.5714,0.0,18.5714,18.5714,28.5714,39.0143,65.7143,1.2341,16.7114,44.78,7.39,47.83,public_label_ok_raw_score_member_only,,
rsi_strength_score_signed,signed_score,7970,7970,0.0,-57.1429,-28.5714,-14.2857,-14.2857,-14.2857,0.0,14.2857,14.2857,14.2857,42.8571,57.1429,1.2852,15.4636,41.07,9.65,49.28,public_label_ok_raw_score_member_only,,
sent_ribbon_center_slope_score_signed,signed_score,7970,6728,15.58,-100.0,-78.7599,-54.2208,-40.8763,-21.0203,1.9394,26.1839,46.505,57.655,80.3862,100.0,2.2484,34.2517,47.43,0.0,52.57,public_label_ok_raw_score_member_only,,
sent_ribbon_fast_slow_score_signed,signed_score,7970,7295,8.47,-100.0,-79.1163,-56.8543,-44.9765,-25.4635,1.0252,27.0325,48.0923,60.4084,84.3547,100.0,1.1145,36.2284,48.98,0.0,51.02,public_label_ok_raw_score_member_only,,
sent_ribbon_stack_score_signed,signed_score,7970,7943,0.34,-100.0,-100.0,-100.0,-100.0,-50.0,0.0,50.0,100.0,100.0,100.0,100.0,11.2426,63.2346,29.42,26.21,44.37,public_label_ok_raw_score_member_only,,
signal_consensus_attention_adjusted_score_signed,signed_score,7970,7970,0.0,-60.4052,-41.2645,-31.0444,-24.3891,-10.8294,5.2136,23.2038,39.13,47.0214,58.9286,75.3762,6.2811,23.5603,42.46,0.19,57.35,public_label_ok_raw_score_member_only,,
signal_consensus_score_signed,signed_score,7970,7970,0.0,-61.0447,-41.9149,-31.6897,-24.8966,-11.1984,5.2599,23.5379,39.9431,47.2475,59.6142,76.3535,6.3255,23.9846,42.46,0.19,57.35,public_label_ok_raw_score_member_only,,
stochastic_rsi_cross_score_signed,signed_score,7970,7970,0.0,-100.0,-100.0,-100.0,-100.0,-100.0,0.0,100.0,100.0,100.0,100.0,100.0,0.3262,88.6955,39.17,21.33,39.5,public_label_ok_raw_score_member_only,,
stochastic_rsi_d_strength_score_signed,signed_score,7970,7970,0.0,-100.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,1.9134,63.5457,22.35,52.95,24.71,public_label_ok_raw_score_member_only,,
stochastic_rsi_strength_score_signed,signed_score,7970,7970,0.0,-100.0,-75.0,-50.0,-25.0,-25.0,0.0,25.0,25.0,50.0,100.0,100.0,1.1575,31.7143,42.2,12.18,45.62,public_label_ok_raw_score_member_only,,
attention_spike_score,unit_score_0_1,7970,7970,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,internal_review,,
attention_spike_score_delta_1d,unit_score_0_1,7970,7969,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,internal_review,,
attention_spike_score_delta_3d,unit_score_0_1,7970,7967,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,internal_review,,
attention_spike_score_ema_3,unit_score_0_1,7970,7970,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,internal_review,,
attention_spike_score_ema_7,unit_score_0_1,7970,7970,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,internal_review,,
attention_spike_score_streak_down,unit_score_0_1,7970,7970,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,internal_review,,
attention_spike_score_streak_up,unit_score_0_1,7970,7970,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,internal_review,,
boll_volatility_flag_num,unit_score_0_1,7970,7970,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0671,0.2502,0.0,93.29,6.71,internal_review,,
bollinger_strength_score_raw,unit_score_0_1,7970,7970,0.0,0.0,0.0,0.2,0.3,0.5,0.5,0.7,0.8,0.9,1.0,1.0,0.56,0.2007,0.0,1.02,98.98,internal_only,,
consecutive_count_rsi_price_divergence,unit_score_0_1,7970,7970,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,internal_review,,
ma_trend_score_raw,unit_score_0_1,7970,7970,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.4693,0.4908,0.0,51.12,48.88,internal_only,,
macd_component_above,unit_score_0_1,7970,7970,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.49,0.4999,0.0,51.0,49.0,internal_only,,
sent_ribbon_stack_score_raw,unit_score_0_1,7970,7943,0.34,0.0,0.0,0.0,0.0,0.25,0.5,0.75,1.0,1.0,1.0,1.0,0.5562,0.3162,0.0,11.43,88.57,internal_only,,
