date,sector,n_rows,n_terms,close,combined_compound,rsi,sentiment_rsi,macd,macd_signal,macd_histogram,combined_normalized_score_7,combined_normalized_score_21,combined_normalized_score_50,combined_normalized_score_100,combined_normalized_score_200,high_volume_7,high_volume_20,sector_rsi,sector_macd,sector_macd_signal,sector_macd_hist,sector_macd_divergence,rsi_z,macd_z,sentiment_z,macd_acceleration,divergence_bonus,ma_alignment,sector_strength_base,sector_strength_v2,level,term,mcap_status,mcap_scope,mcap_covered_terms,mcap_total_terms,mcap_coverage_pct,mcap_missing_terms
2026-03-24,Academic Chain,1,1,0.26620381894244105,0.05881497682821709,,,0.0,0.0,0.0,32.840967988984545,38.45906581166927,35.805131941640965,34.70261786285706,34.14166728973108,0,0,,0.0,0.0,0.0,None,,,,0.0,0.0,35.18989017897658,,,sector,,publishable,full_universe,27,27,1.0,
2026-03-25,Academic Chain,1,1,0.27034822254806007,0.06677734152496455,,,0.00033060769503512333,6.612153900702467e-05,0.0002644861560280987,32.71550831863337,38.21809594175778,35.08859455682542,34.190710868536705,33.6882293109733,1,1,100.0,0.0006351743917633323,0.00012703487835266647,0.0005081395134106659,Bullish,,,,0.0006351743917633323,1.0,34.78022779934532,30.756245254395346,,sector,,publishable,full_universe,27,27,1.0,
2026-03-26,Academic Chain,1,1,0.2545891392067584,0.13639906756624992,,,-0.0006712716445715361,-8.135709770868747e-05,-0.0005899145468628486,34.9443291325894,39.26531550711598,35.36946982621739,34.624819941954854,34.08585053296183,0,0,100.0,0.006679449575022173,0.001437517817686568,0.005241931757335605,Bullish,,,,0.00604427518325884,1.0,35.657956988167896,30.939206862109337,,sector,,publishable,full_universe,27,27,1.0,
2026-03-27,Academic Chain,1,1,0.24590432257931544,0.00032835932973311784,,,-0.002141375910616916,-0.0004933608602903332,-0.0016480150503265828,27.79445029668269,36.34937910843489,33.0525329821031,33.077837786543384,32.77653845256573,1,1,36.31282382160514,0.0004842303342062759,0.0012468603209905096,-0.0007626299867842337,Bearish,,,,-0.006195219240815897,-1.0,32.61014772526596,14.530848805015477,,sector,,publishable,full_universe,27,27,1.0,
2026-03-28,Academic Chain,1,1,0.24577223396902548,-0.0709958039825834,,,-0.003279300841124433,-0.0010505488564571531,-0.0022287519846672797,19.09554766975223,31.91324911386774,30.722693134957847,30.63024091503269,30.56817514630884,0,0,27.224497596399758,-0.010064769054130077,-0.0010154655540336075,-0.00904930350009647,Bearish,,,,-0.010548999388336353,-1.0,28.58598119598387,11.565747042522663,,sector,,publishable,full_universe,27,27,1.0,
2026-03-29,Academic Chain,1,1,0.23958116723407022,-0.08489772116650962,,,-0.004627340787289214,-0.0017659072426235655,-0.002861433544665648,11.486864120317225,27.34942197971209,27.111773187900138,28.070449002113946,28.198753747961383,1,1,25.958198087279982,-0.019323941238534377,-0.004677160690933761,-0.014646780547600616,Bearish,,,,-0.0092591721844043,-1.0,24.443452407600955,10.557417631058897,,sector,,publishable,full_universe,27,27,1.0,
2026-03-30,Academic Chain,1,1,0.24317455758457318,0.02967189019704386,,,-0.00534411199022955,-0.0024815481921447624,-0.0028625637980847873,10.489393166178624,26.208244283436642,25.891560750476696,27.064799010670285,27.238747268540283,1,1,46.47562558550091,-0.01721860638832796,-0.0071854498304126015,-0.01003315655791536,Bullish,,,,0.002105334850206416,1.0,23.378548895860504,15.556223548862608,,sector,,publishable,full_universe,27,27,1.0,
2026-03-31,Academic Chain,1,1,0.24161684359867408,-0.007556945569586591,,,-0.005969045393229122,-0.0031790476323616344,-0.0027899977608674877,6.200731433186406,23.367611711869706,24.029171645836296,25.549726318424895,25.814135205590176,1,1,42.63645806671667,-0.0183427257390561,-0.009416905012141302,-0.008925820726914797,Bearish,,,,-0.0011241193507281373,-1.0,20.992275262981494,14.157025661075505,,sector,,publishable,full_universe,27,27,1.0,
2026-04-01,Academic Chain,1,1,0.24841462538138032,0.11078127309556351,,,-0.0058483690807966116,-0.00371291192204863,-0.0021354571587479817,8.838934354692,24.511306353346555,24.54798923578507,25.795792894936234,25.835312990346186,1,1,54.56631756785655,-0.009574326297089743,-0.00944838926913099,-0.00012593702795875295,Bullish,,,,0.008768399441966356,1.0,21.905867165821206,17.354655208975295,,sector,,publishable,full_universe,27,27,1.0,
2026-04-02,Academic Chain,1,1,0.23928447196356825,0.15247838254999888,,,-0.006415505358450813,-0.004253430609329067,-0.0021620747491217455,13.220681162043512,25.85169426416374,25.738585308857164,26.546592286241797,26.34121447925709,1,1,57.66834437308847,0.0007308765987885935,-0.007412536095547074,0.008143412694335668,Bullish,,,,0.010305202895878336,1.0,23.53975350011266,18.348390385938878,,sector,,publishable,full_universe,27,27,1.0,
2026-04-03,Academic Chain,1,1,0.24620430301161855,0.10081470728441334,,,-0.006234722411372962,-0.004649688969737846,-0.0015850334416351152,15.41861893997507,25.7936165750426,26.31522554582256,26.612965348479676,26.247782986936713,0,0,53.170373225908115,0.004675105608859802,-0.004995007754665699,0.0096701133635255,Bullish,,,,0.003944229010071208,1.0,24.077641879251324,17.19808971668518,,sector,,publishable,full_universe,27,27,1.0,
2026-04-04,Academic Chain,1,1,0.24791110190477494,-0.051442880441676817,,,-0.005885877485161395,-0.004896926672822556,-0.0009889508123388391,9.164825942438119,21.542594656442727,23.9131991686365,24.54917813058425,24.30366475098916,0,0,43.2326911401394,-0.004433868468052972,-0.004882779897343154,0.00044891142929018215,Bearish,,,,-0.009108974076912774,-1.0,20.69469252981815,14.02044850822966,,sector,,publishable,full_universe,27,27,1.0,
2026-04-05,Academic Chain,1,1,0.2506912008448064,0.06336743870034814,,,-0.005323716131971357,-0.004982284564652316,-0.0003414315673190404,12.00042686488944,20.55596601466861,23.48012325346469,24.21987481685964,23.770241276891646,0,0,50.244901840021384,-0.002361342716776911,-0.004378492461229905,0.0020171497444529942,Bullish,,,,0.002072525751276061,1.0,20.8053264453548,15.666208630071566,,sector,,publishable,full_universe,27,27,1.0,
2026-04-06,Academic Chain,1,1,0.24611407931171267,0.27057788473643873,,,-0.005187733699696329,-0.005023374391661119,-0.00016435930803520953,24.482333102108278,23.492540747771727,25.962676685629525,26.770949193411724,25.74575302981312,1,1,59.315165744230676,0.015818949139287372,-0.0003390041411264499,0.016157953280413823,Bullish,,,,0.018180291856064283,1.0,25.290850551746875,18.451329545166004,,sector,,publishable,full_universe,27,27,1.0,
2026-04-07,Academic Chain,1,1,0.2626642780457681,0.24303920050054895,68.29634814958267,71.10991090167877,-0.0037018315110126654,-0.004759065815531429,0.0010572343045187633,35.062072377662446,26.466767492112687,28.5708427639283,28.853166919260886,27.36179753319004,1,1,57.91208369635931,0.027685676504687978,0.005265931988036436,0.022419744516651543,Bullish,,,,0.011866727365400606,1.0,29.262929417230872,18.540021187208094,,sector,,publishable,full_universe,27,27,1.0,
