date,sector,n_rows,n_terms,close,combined_compound,rsi,sentiment_rsi,macd,macd_signal,macd_histogram,combined_normalized_score_7,combined_normalized_score_21,combined_normalized_score_50,combined_normalized_score_100,combined_normalized_score_200,high_volume_7,high_volume_20,sector_rsi,sector_macd,sector_macd_signal,sector_macd_hist,sector_macd_divergence,rsi_z,macd_z,sentiment_z,macd_acceleration,divergence_bonus,ma_alignment,sector_strength_base,sector_strength_v2,level,term,mcap_status,mcap_scope,mcap_covered_terms,mcap_total_terms,mcap_coverage_pct,mcap_missing_terms
2026-03-24,AI,9,9,266.38,0.17808851903499795,,,0.0,0.0,0.0,39.143548994365304,40.62966398208012,47.35526807331479,49.29841523151444,42.858060658904414,0,0,,0.0,0.0,0.0,None,,,,0.0,0.0,43.85699138803581,,,sector,,disabled,none,0,64,0.0,
2026-03-25,AI,9,9,269.0133333333334,0.21089562521250127,,,0.21006647673314027,0.04201329534662806,0.1680531813865122,41.19434377086346,41.89588546925234,46.99345453043573,48.52452386385815,43.570478422335796,4,4,100.0,0.002617091091082907,0.0005234182182165814,0.0020936728728663256,Bullish,,,,0.002617091091082907,1.0,44.4357372113491,31.358850561984998,,sector,,disabled,none,0,64,0.0,
2026-03-26,AI,9,9,257.8044444444444,0.1363307132418573,,,-0.5219018243899585,-0.07076972860068925,-0.45113209578926916,34.419842976833145,38.061569380746135,43.18807822255842,45.24981748478417,41.75477709251087,6,6,30.554614454799108,-0.0013105039217221337,0.0001566337902288384,-0.001467137711950972,Bearish,,,,-0.003927595012805041,-1.0,40.53481703148655,13.395277144465915,,sector,,disabled,none,0,64,0.0,
2026-03-27,AI,9,9,250.79999999999998,0.15049338509671215,,,-1.6481927644347882,-0.38625433576750906,-1.2619384286672792,30.49856066741709,35.00236332006379,39.88306942300475,42.2680936188978,40.289371564694406,6,6,38.64721918589492,-0.0032429591949374448,-0.0005232848068044182,-0.0027196743881330266,Bearish,,,,-0.001932455273215311,-1.0,37.58829171881557,14.964021239468412,,sector,,disabled,none,0,64,0.0,
2026-03-28,AI,9,9,,0.20139771386441416,,,-1.6481927644347882,-0.6386420215009649,-1.0095507429338235,31.849676995315715,35.22539371440967,39.813106549442914,42.1199299952115,40.08371387902801,6,6,56.75867764604105,-0.0006592901290081166,-0.0005504858712451579,-0.00010880425776295865,Bullish,,,,0.002583669065929328,1.0,37.81836422668156,19.543802845992005,,sector,,disabled,none,0,64,0.0,
2026-03-29,AI,9,9,,0.2663346015778918,,,-1.6481927644347882,-0.8405521700877296,-0.8076405943470587,37.92912170801454,38.265275255798606,41.68042960069776,43.68015451674299,41.46976312450337,6,6,68.5878347659463,0.006552615881316642,0.0008701344792672024,0.00568248140204944,Bullish,,,,0.007211906010324759,1.0,40.604948841151455,22.981605244378958,,sector,,disabled,none,0,64,0.0,
2026-03-30,AI,9,9,250.44222222222223,0.164870695087935,,,-2.997269793414274,-1.2718956947530387,-1.7253740986612356,33.71013036015768,36.10297813408645,39.14103519661233,41.41342510973412,40.600597698604155,5,5,48.049546800441696,0.004034309065348685,0.0015029693964834989,0.002531339668865186,Bearish,,,,-0.002518306815967958,-1.0,38.19363329983894,17.486546740770503,,sector,,disabled,none,0,64,0.0,
2026-03-31,AI,9,9,262.5711111111111,0.10773143755911578,,,-2.616565041791909,-1.5408295641608127,-1.0757354776310963,25.717289153635846,30.895935814093193,34.36212067884115,37.38000687213215,37.911146296936096,9,9,41.116060580358806,-0.0025428157821143493,0.0006938123607639293,-0.0032366281428782787,Bearish,,,,-0.006577124847463034,-1.0,33.253299763127686,14.950475816403841,,sector,,disabled,none,0,64,0.0,
2026-04-01,AI,9,9,265.54111111111115,0.17869321678417763,,,-2.05155060628386,-1.6429737725854225,-0.40857683369843795,26.29241166333476,29.825214448596334,32.52767652068567,35.432922153605695,37.038673217707576,3,3,50.064751001067044,-0.002006087154257208,0.0001538324577597019,-0.00215991961201691,Bullish,,,,0.0005367286278571415,1.0,32.223379600786004,17.05201102164211,,sector,,disabled,none,0,64,0.0,
2026-04-02,AI,9,9,266.5677777777778,0.12808078871691447,,,-1.5035966494277109,-1.61509834795388,0.1115016985261693,22.608324931556183,25.850266925007745,28.676098396383548,31.992444797902547,34.62786507868705,1,1,45.16883261457539,-0.005600170529202031,-0.0009969681396326448,-0.004603202389569386,Bearish,,,,-0.003594083374944823,-1.0,28.751000025907416,15.21317642581363,,sector,,disabled,none,0,64,0.0,
2026-04-03,AI,9,9,,0.15651283281411188,,,-1.5035966494277109,-1.5927980082486466,0.08920135882093545,23.37110309420031,25.50331564674442,27.926342489823774,31.165000292307663,33.75297016550195,1,1,48.02415144182805,-0.006084144920288886,-0.002014403495763893,-0.004069741424524993,Bearish,,,,-0.00048397439108685547,-1.0,28.343746337715622,15.884793662723544,,sector,,disabled,none,0,64,0.0,
2026-04-04,AI,9,9,,0.18243194643251093,,,-1.5035966494277109,-1.5749577364844596,0.0713610870567485,26.85322583620766,26.51623948293146,27.96969282854988,30.7974899229072,33.22774502112566,1,1,50.37973366945764,-0.004326370551492736,-0.002476796906909662,-0.0018495736445830746,Bullish,,,,0.00175777436879615,1.0,29.072878618344372,16.635138928417632,,sector,,disabled,none,0,64,0.0,
2026-04-05,AI,9,9,,0.2301114650662164,,,-1.5035966494277109,-1.5606855190731097,0.05708886964539893,31.952898896804292,29.21552975507847,29.452003817915145,31.897555171245422,34.14120499490439,0,1,54.19821605153113,0.0009036008313239308,-0.0018007173592629433,0.0027043181905868742,Bullish,,,,0.005229971382816667,1.0,31.331838527189547,18.01264838912556,,sector,,disabled,none,0,64,0.0,
2026-04-06,AI,9,9,267.6477777777778,0.1415767070532875,,,-0.6304641000063087,-1.37464123525975,0.7441771352534411,30.10402689589503,27.876279267720033,27.952478224156295,30.3680090700891,33.37047961150047,0,0,47.4219144788262,-0.002071742466148163,-0.0018549223806399874,-0.0002168200855081758,Bearish,,,,-0.002975343297472094,-1.0,29.93425461387219,16.085954421716668,,sector,,disabled,none,0,64,0.0,
2026-04-07,AI,9,9,268.1044444444444,0.17005498289405951,,54.552145318759926,-0.223347376591404,-1.1443824635260809,0.9210350869346767,30.43529403460784,27.403598250156826,26.906987847913932,29.354187766214054,33.30944854013477,2,1,49.454685786676265,-0.0021074709943494085,-0.0019054321033818715,-0.00020203889096753703,Bearish,,,,-3.572852820124539e-05,-1.0,29.481903287805483,16.533203560456922,,sector,,disabled,none,0,64,0.0,
2026-04-08,AI,9,9,275.8377777777778,0.16208424990136897,,53.173129527052836,0.7150680700718384,-0.7724923568064971,1.4875604268783353,30.214143160963886,25.921195821425684,24.586431372620943,27.057002480432065,31.65535813491041,9,7,46.57108202566645,-0.002747288615640775,-0.002073803405833652,-0.0006734852098071228,Bearish,,,,-0.0006398176212913664,-1.0,27.886826194070597,15.586992544942033,,sector,,disabled,none,0,64,0.0,
2026-04-09,AI,9,9,278.11,0.1761486688234168,,53.019614149375776,1.6234048158676444,-0.2933129222716688,1.9167177381393132,30.9117700463555,24.893320448524193,22.58201269092953,25.46512535391295,30.49486343554609,6,3,53.05699322366424,-0.002095314147194105,-0.002078105554105743,-1.720859308836217e-05,Bullish,,,,0.00065197446844667,1.0,26.86941839505365,17.059374578746088,,sector,,disabled,none,0,64,0.0,
2026-04-10,AI,9,9,279.6277777777778,0.16106339103375722,,52.04672412171718,2.437640609623069,0.2528777841072788,2.1847628255157905,29.34789391038132,22.8193358301709,20.226682865547943,23.80189566950243,29.148527114381377,6,4,50.810356169223205,-0.0027640136990426944,-0.0022152871830931333,-0.0005487265159495611,Bearish,,,,-0.0006686995518485894,-1.0,25.068867077996792,16.18117060026849,,sector,,disabled,none,0,64,0.0,
2026-04-11,AI,9,9,,0.2202802182386483,,55.19389341326425,2.437640609623069,0.689830349210437,1.747810260412632,34.44011287312497,25.602314354002367,21.899261468952485,24.973616513024385,30.00410375717383,6,4,51.429420200708705,0.0014674245909138683,-0.001478744828291733,0.0029461694192056014,Bullish,,,,0.004231438289956563,1.0,27.383881793255608,16.775167135808786,,sector,,disabled,none,0,64,0.0,
2026-04-12,AI,9,9,,0.20824091896149388,,55.84143402184907,2.437640609623069,1.0393924012929636,1.3982482083301055,35.87057904462634,26.38894493350857,21.9822943923447,24.95761312711661,29.892964393722437,6,4,45.21939528630712,0.003805531290669073,-0.000421889604499572,0.004227420895168645,Bullish,,1.4332968832361739,0.8351898629298726,0.0023381066997552047,1.0,27.818479178263726,15.337026266062253,,sector,,disabled,none,0,64,0.0,
2026-04-13,AI,9,9,284.8255555555555,0.17505062538882343,,54.54901200709949,4.000011415936914,1.6315162042217537,2.36849521171516,34.61601228060203,25.402596584813764,20.473435204300486,23.75076694369185,28.88307194899989,2,3,50.943767552815714,0.002946354644615623,0.00025175924532346705,0.002694595399292156,Bearish,-0.027751741819302213,1.107765146359666,-0.03917882104827472,-0.00085917664605345,-1.0,26.6251765924816,16.608335683473236,0.15816378715600318,sector,,disabled,none,0,64,0.0,
2026-04-14,AI,9,9,294.0711111111111,0.26354669924358975,,58.43150308952215,5.4025047420352115,2.3857139117844453,3.016790830250766,42.199737223023526,30.10302939947099,23.432203848346198,26.43905624602364,31.121154942222624,7,6,63.65169902862189,0.009299149720656347,0.002061237340390043,0.007237912380266304,Bullish,0.8644165039244454,2.468161501830305,2.0483838386896287,0.006352795076040724,1.0,30.659036331817397,20.52294529924154,1.5482949325531803,sector,,disabled,none,0,64,0.0,
